Orders,Total_Spend,Avg_Order_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Products,Customer_Lifetime_Days,Recency_Days,Customer_Type
1,201.78,2.84,151,2023-11-29 14:20:00,2023-11-29 14:20:00,70,0,9,Regular
4,1006.8,15.03,1390,2023-09-25 15:59:00,2023-11-29 09:10:00,55,64,10,Regular
2,679.45,13.87,751,2023-09-14 14:26:00,2023-11-21 08:19:00,48,67,18,Regular
2,1269.1,27.59,672,2023-09-12 11:25:00,2023-10-03 13:49:00,44,21,66,Regular
2,534.24,53.42,300,2023-09-04 10:35:00,2023-09-26 14:30:00,9,22,73,Regular
7,3809.89,37.72,2129,2023-06-03 17:07:00,2023-12-04 14:45:00,68,183,4,VIP
1,196.89,16.41,76,2023-12-08 10:33:00,2023-12-08 10:33:00,12,0,1,Regular
7,3408.06,20.41,1283,2023-06-02 14:30:00,2023-11-25 14:00:00,143,175,13,VIP
1,283.71,5.25,242,2023-03-29 14:20:00,2023-03-29 14:20:00,54,0,254,At Risk
1,296.64,22.82,204,2023-09-09 09:38:00,2023-09-09 09:38:00,13,0,91,Regular
3,1129.14,19.14,584,2023-11-04 10:10:00,2023-11-16 13:38:00,55,12,22,Regular
6,3534.69,18.22,1648,2022-12-01 10:52:00,2023-11-23 12:33:00,137,357,16,VIP
1,291.88,15.36,222,2023-11-16 08:28:00,2023-11-16 08:28:00,19,0,23,Regular
6,2043.72,28.78,1982,2023-05-05 19:48:00,2023-11-13 11:54:00,32,191,26,Frequent
5,2898.26,6.69,2128,2023-01-09 15:35:00,2023-11-13 15:58:00,315,308,25,High Value
2,590.0,295.0,2,2023-03-14 11:38:00,2023-03-25 14:19:00,1,11,258,At Risk
2,356.98,21.0,134,2023-02-23 09:44:00,2023-06-27 09:34:00,16,123,165,Regular
2,1058.34,23.01,354,2022-12-08 13:11:00,2023-11-15 11:21:00,42,341,24,Regular
6,1766.72,28.04,765,2023-05-16 15:34:00,2023-11-22 09:18:00,43,189,17,Frequent
14,9646.57,25.25,5508,2022-12-15 12:05:00,2023-12-02 15:29:00,242,352,6,VIP
2,183.44,10.79,286,2023-10-21 09:50:00,2023-11-10 17:17:00,16,20,28,Regular
3,1445.0,53.52,1170,2023-06-29 10:23:00,2023-11-01 09:01:00,14,124,38,Regular
1,151.5,16.83,62,2023-04-01 11:20:00,2023-04-01 11:20:00,9,0,252,At Risk
1,674.68,16.46,403,2023-10-12 15:01:00,2023-10-12 15:01:00,41,0,57,Regular
1,307.9,18.11,259,2023-06-08 16:39:00,2023-06-08 16:39:00,17,0,183,At Risk
2,1071.91,10.94,580,2023-11-03 16:56:00,2023-11-29 10:01:00,89,25,10,Regular
37,5704.97,18.89,2589,2022-12-01 15:08:00,2023-12-08 10:39:00,184,371,1,VIP
2,165.0,16.5,100,2023-08-16 17:06:00,2023-09-01 14:57:00,7,15,98,Regular
4,2501.84,9.85,1583,2023-10-23 13:10:00,2023-12-08 15:44:00,214,46,0,High Value
2,422.64,20.13,266,2023-01-11 08:45:00,2023-10-10 11:20:00,21,272,60,Regular
1,226.84,3.66,129,2023-04-17 13:53:00,2023-04-17 13:53:00,59,0,235,At Risk
4,1431.78,16.65,1012,2023-02-14 12:36:00,2023-06-01 13:52:00,64,107,190,At Risk
2,1238.47,21.35,417,2023-03-03 14:43:00,2023-06-14 12:00:00,56,102,178,At Risk
6,1454.58,18.41,1021,2023-02-21 12:29:00,2023-11-02 12:04:00,57,253,37,Frequent
2,300.95,20.06,134,2023-04-19 11:27:00,2023-05-23 10:45:00,14,33,200,At Risk
5,1804.56,16.56,1142,2023-03-28 09:07:00,2023-10-25 09:07:00,98,211,45,Regular
1,184.64,16.79,116,2023-04-21 17:03:00,2023-04-21 17:03:00,11,0,231,At Risk
1,140.34,14.03,160,2023-10-05 11:53:00,2023-10-05 11:53:00,10,0,65,Regular
1,313.8,39.22,44,2023-04-12 16:30:00,2023-04-12 16:30:00,8,0,240,At Risk
1,454.24,19.75,277,2023-04-20 13:58:00,2023-04-20 13:58:00,23,0,232,At Risk
3,1122.41,16.27,669,2023-07-07 17:19:00,2023-09-22 13:13:00,69,76,77,Regular
3,575.4,16.92,265,2022-12-21 14:54:00,2023-10-13 12:07:00,26,295,57,Regular
13,8968.31,21.25,4518,2022-12-07 13:01:00,2023-11-22 14:41:00,271,350,16,VIP
4,449.52,32.11,560,2023-02-18 10:42:00,2023-08-26 13:16:00,11,189,104,Regular
10,1215.82,14.14,903,2022-12-02 14:30:00,2023-10-19 08:32:00,73,320,51,Frequent
3,1269.84,25.4,408,2023-05-09 10:06:00,2023-07-26 14:25:00,38,78,135,Regular
2,618.63,77.33,380,2023-02-25 16:42:00,2023-03-09 15:35:00,6,11,274,At Risk
1,316.26,17.57,162,2023-02-01 11:58:00,2023-02-01 11:58:00,18,0,311,At Risk
5,2044.87,42.6,829,2022-12-06 15:14:00,2023-12-02 11:21:00,34,360,7,Regular
2,653.33,18.67,341,2022-12-15 10:17:00,2023-11-29 10:58:00,28,349,10,Regular
2,348.05,18.32,163,2022-12-06 11:37:00,2023-03-02 09:04:00,19,85,282,At Risk
5,1159.11,27.6,1365,2023-03-15 08:52:00,2023-11-22 11:21:00,31,252,17,Regular
3,1166.77,17.95,609,2023-08-09 12:20:00,2023-11-16 15:35:00,60,99,22,Regular
1,1340.32,25.78,560,2023-02-24 18:59:00,2023-02-24 18:59:00,52,0,287,At Risk
3,292.0,16.22,264,2023-01-20 09:03:00,2023-11-23 10:39:00,17,307,16,Regular
1,216.85,12.76,248,2023-09-29 13:23:00,2023-09-29 13:23:00,17,0,70,Regular
1,295.93,13.45,178,2023-10-06 13:20:00,2023-10-06 13:20:00,22,0,63,Regular
4,4393.63,20.44,2486,2023-04-21 12:07:00,2023-09-28 11:56:00,182,159,72,High Value
2,458.52,17.64,324,2022-12-05 12:15:00,2023-01-27 13:53:00,26,53,315,At Risk
4,2479.16,15.3,1597,2023-07-17 11:50:00,2023-12-06 13:13:00,146,142,2,High Value
1,110.97,9.25,24,2023-04-10 11:58:00,2023-04-10 11:58:00,12,0,243,At Risk
7,979.72,22.27,1106,2023-02-28 13:27:00,2023-12-01 10:10:00,27,275,8,Frequent
4,1791.56,15.58,1386,2023-06-09 09:32:00,2023-12-08 13:46:00,86,182,0,Regular
1,251.21,16.75,143,2023-03-24 10:03:00,2023-03-24 10:03:00,15,0,260,At Risk
1,205.1,20.51,109,2023-08-05 11:50:00,2023-08-05 11:50:00,10,0,126,Regular
1,152.2,38.05,40,2023-09-27 09:39:00,2023-09-27 09:39:00,4,0,73,Regular
4,891.12,15.1,681,2023-04-06 10:33:00,2023-09-28 11:26:00,50,175,72,Regular
3,1389.41,31.58,985,2023-04-15 11:06:00,2023-11-18 13:15:00,43,217,20,Regular
3,2128.42,15.1,1369,2023-06-13 08:44:00,2023-10-11 11:43:00,125,120,59,High Value
1,627.16,17.42,382,2023-09-15 10:29:00,2023-09-15 10:29:00,36,0,85,Regular
1,122.75,15.34,23,2023-09-22 18:24:00,2023-09-22 18:24:00,8,0,77,Regular
6,3624.35,38.97,1649,2022-12-03 10:36:00,2023-10-12 10:20:00,49,312,58,VIP
3,1071.73,2.56,718,2023-11-29 15:09:00,2023-12-08 13:50:00,313,8,0,Regular
1,125.8,25.16,44,2023-11-09 15:11:00,2023-11-09 15:11:00,5,0,29,Regular
5,3964.88,23.05,1752,2022-12-08 14:22:00,2023-11-06 15:11:00,157,333,32,High Value
5,680.18,25.19,324,2023-05-04 12:26:00,2023-10-30 12:34:00,17,179,40,Regular
2,628.78,104.8,394,2023-04-05 15:36:00,2023-11-25 12:01:00,5,233,14,Regular
7,2242.36,10.33,1683,2023-01-17 11:17:00,2023-11-06 12:04:00,153,293,33,VIP
2,307.76,20.52,74,2023-05-19 11:50:00,2023-09-22 09:15:00,15,125,78,Regular
2,483.8,21.99,174,2022-12-08 15:03:00,2023-05-18 16:56:00,17,161,204,At Risk
1,210.31,3.19,129,2023-11-06 12:25:00,2023-11-06 12:25:00,66,0,33,Regular
3,269.09,3.59,202,2023-03-17 12:47:00,2023-06-10 11:54:00,61,84,182,At Risk
25,5870.08,19.83,2961,2022-12-16 15:23:00,2023-12-07 14:52:00,119,355,1,VIP
7,3444.39,19.35,2126,2023-09-25 13:30:00,2023-12-08 16:38:00,91,74,0,VIP
7,1280.85,51.23,175,2023-01-28 10:40:00,2023-10-27 16:34:00,10,272,42,Frequent
3,631.34,17.06,320,2023-02-03 15:23:00,2023-09-15 10:18:00,35,223,85,Regular
2,276.06,3.54,112,2023-04-13 12:09:00,2023-10-31 11:57:00,76,200,39,Regular
3,621.09,6.4,357,2023-05-23 12:14:00,2023-11-27 14:50:00,72,188,11,Regular
2,678.16,5.51,436,2023-04-10 11:35:00,2023-09-04 14:50:00,114,147,95,Regular
7,918.2,18.0,458,2023-04-11 13:42:00,2023-11-14 09:20:00,37,216,25,Frequent
1,91.8,22.95,12,2023-01-24 14:46:00,2023-01-24 14:46:00,4,0,318,At Risk
12,3740.07,34.31,1417,2023-01-28 10:10:00,2023-10-04 15:19:00,82,249,65,VIP
4,4098.88,30.36,2636,2023-05-22 11:06:00,2023-09-27 12:36:00,128,128,73,High Value
2,584.06,17.18,546,2023-03-04 12:14:00,2023-11-11 15:24:00,31,252,27,Regular
4,594.52,3.52,338,2023-10-02 13:01:00,2023-12-04 11:24:00,123,62,5,Regular
1,171.42,5.36,63,2023-12-02 13:11:00,2023-12-02 13:11:00,32,0,6,Regular
1,141.86,10.13,83,2023-05-08 12:39:00,2023-05-08 12:39:00,14,0,215,At Risk
3,1799.33,21.94,757,2023-04-08 12:42:00,2023-09-19 10:51:00,50,163,81,Regular
2,777.53,15.87,209,2023-07-22 17:21:00,2023-09-16 14:45:00,49,55,83,Regular
3,1724.67,21.29,636,2022-12-06 17:26:00,2023-07-18 14:33:00,68,223,143,Regular
2,240.22,6.32,172,2023-01-09 14:28:00,2023-11-20 14:33:00,35,315,18,Regular
2,856.84,5.07,567,2023-09-18 12:40:00,2023-10-30 11:59:00,134,41,40,Regular
1,187.05,4.35,66,2023-06-19 14:42:00,2023-06-19 14:42:00,41,0,172,Regular
2,338.62,4.29,156,2022-12-07 12:29:00,2023-11-22 13:07:00,73,350,16,Regular
1,239.49,8.87,161,2023-04-10 13:36:00,2023-04-10 13:36:00,27,0,242,At Risk
12,2088.94,6.14,1757,2023-03-31 12:43:00,2023-11-27 10:47:00,157,240,12,VIP
1,1384.25,41.95,534,2023-05-18 11:59:00,2023-05-18 11:59:00,32,0,205,At Risk
2,290.25,11.61,302,2023-03-31 14:47:00,2023-10-20 14:33:00,24,202,49,Regular
5,732.07,15.91,449,2023-06-16 14:24:00,2023-11-16 13:14:00,41,152,22,Regular
18,6717.34,53.31,2646,2022-12-01 17:24:00,2023-11-29 15:34:00,78,362,9,VIP
4,1687.6,20.33,791,2023-04-12 10:33:00,2023-11-14 15:19:00,61,216,24,Regular
2,467.04,20.31,176,2022-12-05 16:10:00,2023-11-25 08:41:00,19,354,14,Regular
1,118.0,11.8,30,2023-02-03 14:41:00,2023-02-03 14:41:00,10,0,308,At Risk
1,781.03,14.74,725,2023-07-07 10:40:00,2023-07-07 10:40:00,53,0,155,Regular
1,142.4,5.93,37,2023-02-06 12:49:00,2023-02-06 12:49:00,24,0,306,At Risk
1,712.4,89.05,180,2023-10-07 12:31:00,2023-10-07 12:31:00,8,0,63,Regular
9,2478.95,14.25,2606,2023-03-29 15:53:00,2023-11-24 10:42:00,131,239,15,VIP
2,379.65,18.08,114,2023-06-13 12:44:00,2023-11-25 12:10:00,21,164,14,Regular
6,1981.92,22.78,1848,2023-02-09 13:25:00,2023-11-28 12:54:00,70,291,10,Frequent
3,1117.13,19.26,485,2023-03-18 12:18:00,2023-10-06 12:26:00,56,202,64,Regular
4,247.96,15.5,84,2023-03-20 14:01:00,2023-11-04 09:49:00,15,228,35,Regular
5,2011.88,15.84,719,2023-01-07 16:32:00,2023-08-23 13:35:00,77,227,107,Regular
1,396.97,15.27,359,2023-10-18 10:19:00,2023-10-18 10:19:00,26,0,52,Regular
2,664.11,4.55,384,2023-11-27 11:57:00,2023-12-04 12:01:00,133,7,5,Regular
1,160.04,4.57,52,2023-10-23 14:28:00,2023-10-23 14:28:00,33,0,46,Regular
21,5149.92,20.93,3293,2022-12-08 10:11:00,2023-12-08 16:10:00,171,365,0,VIP
1,219.52,11.55,324,2023-01-31 15:27:00,2023-01-31 15:27:00,19,0,311,At Risk
2,693.32,7.0,548,2023-05-12 16:52:00,2023-10-25 17:31:00,90,166,44,Regular
1,428.89,18.65,267,2023-10-06 11:47:00,2023-10-06 11:47:00,23,0,64,Regular
1,164.34,6.09,164,2023-11-13 15:57:00,2023-11-13 15:57:00,27,0,25,Regular
3,276.75,6.92,276,2023-02-01 11:42:00,2023-11-10 17:46:00,40,282,28,Regular
1,675.51,6.96,288,2023-10-30 16:17:00,2023-10-30 16:17:00,93,0,39,Regular
7,1082.33,5.03,488,2023-02-27 14:44:00,2023-11-27 15:38:00,165,273,11,Frequent
3,1154.4,16.03,754,2022-12-15 10:31:00,2023-09-11 14:51:00,67,270,88,Regular
4,1585.46,8.13,564,2023-01-13 12:37:00,2023-11-15 14:47:00,171,306,23,Regular
1,417.69,18.16,189,2023-01-25 08:21:00,2023-01-25 08:21:00,23,0,318,At Risk
3,544.18,12.37,300,2023-06-12 12:55:00,2023-10-30 13:50:00,31,140,39,Regular
1,177.34,13.64,246,2023-06-19 11:09:00,2023-06-19 11:09:00,13,0,173,Regular
1,213.85,11.26,343,2023-08-15 08:26:00,2023-08-15 08:26:00,19,0,116,Regular
5,727.74,9.33,286,2023-02-15 13:08:00,2023-11-09 12:00:00,75,266,30,Regular
1,257.23,13.54,209,2023-04-01 10:05:00,2023-04-01 10:05:00,19,0,252,At Risk
5,1638.47,17.81,1269,2022-12-17 09:52:00,2023-10-11 14:20:00,84,298,58,Regular
11,7792.36,132.07,4372,2023-01-05 12:09:00,2023-11-16 13:21:00,28,315,22,VIP
7,2031.78,28.62,1391,2023-02-27 12:49:00,2023-12-04 15:16:00,51,280,4,Frequent
11,3070.42,279.13,467,2023-03-17 17:13:00,2023-09-01 09:57:00,6,167,99,VIP
5,2118.93,14.61,1031,2023-04-10 15:07:00,2023-11-15 10:51:00,121,218,24,High Value
5,1547.36,8.32,700,2023-01-16 15:30:00,2023-11-06 13:40:00,156,293,32,Regular
1,1071.03,17.27,677,2023-10-03 10:55:00,2023-10-03 10:55:00,62,0,67,Regular
5,949.12,15.07,592,2023-02-27 14:29:00,2023-11-03 10:30:00,57,248,36,Regular
3,804.3,8.12,405,2023-04-27 13:06:00,2023-10-18 13:32:00,79,174,51,Regular
1,122.64,15.33,93,2023-11-24 10:38:00,2023-11-24 10:38:00,8,0,15,Regular
1,1033.34,25.83,800,2023-09-26 13:36:00,2023-09-26 13:36:00,39,0,73,Regular
1,312.28,5.48,151,2023-05-08 12:34:00,2023-05-08 12:34:00,57,0,215,At Risk
3,519.44,18.55,273,2023-06-07 11:40:00,2023-11-08 15:37:00,24,154,30,Regular
4,2624.26,17.97,2067,2023-08-26 11:53:00,2023-11-23 14:07:00,144,89,15,High Value
1,252.1,50.42,158,2023-08-11 16:11:00,2023-08-11 16:11:00,5,0,119,Regular
4,1648.12,21.13,887,2023-04-19 09:49:00,2023-11-30 12:00:00,65,225,9,Regular
2,346.6,15.07,139,2022-12-08 14:46:00,2023-03-28 11:51:00,23,109,256,At Risk
6,1836.34,19.13,922,2023-03-17 12:37:00,2023-11-23 12:22:00,79,250,16,Frequent
2,94.2,15.7,33,2023-10-31 12:11:00,2023-11-04 14:59:00,6,4,34,Regular
3,1095.08,17.38,578,2022-12-06 09:21:00,2023-10-25 08:51:00,48,322,45,Regular
6,2707.33,16.31,2182,2023-03-11 12:54:00,2023-10-27 16:24:00,157,230,42,VIP
2,932.97,16.66,605,2023-04-12 09:53:00,2023-08-17 14:25:00,52,127,113,Regular
2,379.65,7.75,490,2023-01-06 15:42:00,2023-06-28 10:31:00,49,172,164,Regular
2,382.14,23.88,209,2023-05-22 12:35:00,2023-11-29 12:32:00,16,190,10,Regular
5,2639.17,24.44,1019,2023-05-19 17:15:00,2023-11-30 10:13:00,91,194,9,High Value
2,1563.0,15.17,882,2023-01-23 12:08:00,2023-05-18 12:37:00,92,115,205,At Risk
3,881.26,16.95,533,2023-03-25 13:23:00,2023-09-15 12:04:00,50,173,85,Regular
1,189.47,14.57,91,2023-06-13 15:44:00,2023-06-13 15:44:00,13,0,178,At Risk
3,84.65,7.05,41,2023-02-25 13:05:00,2023-10-10 15:39:00,12,227,59,Regular
1,299.05,3.6,149,2023-07-13 15:42:00,2023-07-13 15:42:00,82,0,148,Regular
21,6309.83,13.63,3722,2022-12-12 12:35:00,2023-12-07 12:11:00,284,359,2,VIP
2,218.55,24.28,237,2023-07-13 11:44:00,2023-10-20 09:32:00,9,98,50,Regular
1,349.7,13.99,282,2023-09-25 15:25:00,2023-09-25 15:25:00,25,0,74,Regular
2,186.39,31.06,57,2023-01-11 13:54:00,2023-02-11 13:53:00,4,30,300,At Risk
2,387.44,6.46,114,2023-11-07 15:40:00,2023-11-21 12:11:00,47,13,18,Regular
2,486.82,19.47,330,2023-02-28 12:14:00,2023-07-11 12:57:00,25,133,150,Regular
1,232.6,14.54,924,2023-07-11 10:14:00,2023-07-11 10:14:00,16,0,151,Regular
4,3719.12,19.17,1934,2023-01-04 14:12:00,2023-12-08 13:47:00,164,337,0,High Value
4,827.83,14.52,360,2023-07-07 15:21:00,2023-11-22 11:13:00,37,137,17,Regular
1,59.5,19.83,10,2023-06-05 14:06:00,2023-06-05 14:06:00,3,0,186,At Risk
1,65.13,2.25,38,2023-02-27 10:13:00,2023-02-27 10:13:00,29,0,285,At Risk
7,3119.44,79.99,5056,2023-10-10 12:59:00,2023-12-07 11:41:00,29,57,2,VIP
1,72.0,9.0,70,2023-06-10 09:10:00,2023-06-10 09:10:00,8,0,182,At Risk
1,910.0,151.67,512,2023-10-07 13:21:00,2023-10-07 13:21:00,6,0,62,Regular
1,172.25,19.14,67,2023-10-11 15:03:00,2023-10-11 15:03:00,9,0,58,Regular
3,1488.32,28.08,1226,2023-04-17 12:57:00,2023-11-15 11:17:00,48,211,24,Regular
50,65039.62,114.51,63312,2022-12-01 12:12:00,2023-12-06 09:32:00,366,369,3,VIP
15,2504.13,27.82,1603,2023-03-25 11:31:00,2023-11-08 14:26:00,46,228,30,VIP
1,151.3,12.61,177,2023-11-01 09:14:00,2023-11-01 09:14:00,12,0,38,Regular
1,308.58,22.04,66,2023-07-07 16:51:00,2023-07-07 16:51:00,14,0,154,Regular
10,2248.63,11.59,2281,2023-01-16 13:18:00,2023-11-13 13:00:00,139,300,25,VIP
1,99.5,99.5,10,2023-01-25 13:10:00,2023-01-25 13:10:00,1,0,317,At Risk
9,2308.06,17.22,1531,2023-09-12 14:40:00,2023-12-04 15:13:00,111,83,4,VIP
3,711.86,25.42,363,2022-12-01 10:29:00,2023-12-02 12:32:00,25,366,7,Regular
1,330.79,16.54,189,2023-02-10 09:21:00,2023-02-10 09:21:00,20,0,302,At Risk
2,806.41,16.8,351,2023-01-28 13:27:00,2023-03-17 18:03:00,48,48,266,At Risk
1,285.33,5.82,301,2023-03-13 13:46:00,2023-03-13 13:46:00,49,0,270,At Risk
13,6307.65,18.83,3508,2023-01-28 14:57:00,2023-12-06 10:28:00,244,311,3,VIP
1,180.48,22.56,176,2023-11-08 08:16:00,2023-11-08 08:16:00,8,0,31,Regular
2,252.06,19.39,140,2023-05-05 10:29:00,2023-05-05 10:31:00,11,0,218,At Risk
1,228.84,22.88,352,2023-04-07 12:33:00,2023-04-07 12:33:00,10,0,246,At Risk
5,1077.39,10.36,562,2022-12-02 08:52:00,2023-03-03 19:21:00,89,91,280,At Risk
1,138.28,6.58,138,2023-03-15 13:49:00,2023-03-15 13:49:00,21,0,268,At Risk
6,1445.01,14.17,1959,2023-02-14 13:21:00,2023-11-07 14:13:00,92,266,31,Frequent
2,306.55,25.55,173,2023-02-17 11:58:00,2023-04-07 13:24:00,9,49,245,At Risk
5,1041.68,17.36,609,2023-04-19 13:56:00,2023-11-24 15:26:00,56,219,14,Regular
4,799.9,18.6,501,2023-03-30 09:17:00,2023-08-15 12:46:00,42,138,116,Regular
1,524.14,18.72,316,2023-11-03 14:05:00,2023-11-03 14:05:00,28,0,35,Regular
3,2375.41,27.95,1401,2023-03-02 11:43:00,2023-07-31 12:44:00,75,151,131,High Value
1,199.85,33.31,43,2023-05-06 17:04:00,2023-05-06 17:04:00,6,0,216,At Risk
8,1980.56,19.04,806,2023-02-04 12:18:00,2023-10-21 10:03:00,95,258,49,Frequent
2,1079.66,25.71,1054,2023-08-31 11:06:00,2023-11-01 10:49:00,39,61,38,Regular
2,333.48,16.67,162,2023-11-06 12:16:00,2023-11-11 09:46:00,19,4,28,Regular
6,1016.14,16.13,458,2023-02-02 12:09:00,2023-11-03 10:49:00,38,273,36,Frequent
2,752.6,17.5,488,2023-07-01 12:47:00,2023-07-27 08:35:00,38,25,135,Regular
2,610.59,16.07,278,2023-04-07 10:10:00,2023-05-04 14:33:00,36,27,218,At Risk
1,491.86,14.9,498,2023-11-11 15:49:00,2023-11-11 15:49:00,33,0,27,Regular
4,2883.54,14.79,1128,2023-04-19 13:49:00,2023-11-15 11:14:00,158,209,24,High Value
2,729.8,3.84,496,2023-03-24 13:04:00,2023-12-04 15:19:00,166,255,4,Regular
1,339.6,11.32,125,2023-05-23 16:32:00,2023-05-23 16:32:00,29,0,199,At Risk
1,216.9,72.3,54,2023-11-21 13:35:00,2023-11-21 13:35:00,3,0,17,Regular
1,350.75,15.25,425,2023-04-13 10:32:00,2023-04-13 10:32:00,23,0,240,At Risk
3,668.43,19.66,218,2023-05-06 13:43:00,2023-09-29 09:19:00,34,145,71,Regular
12,3107.87,9.93,1115,2023-01-23 14:59:00,2023-11-23 11:07:00,200,303,16,VIP
7,1341.6,32.72,1776,2023-03-25 14:46:00,2023-12-07 10:09:00,8,256,2,Frequent
2,1080.52,17.15,1153,2023-02-20 14:08:00,2023-09-05 15:19:00,54,197,94,Regular
1,300.04,12.0,496,2023-06-30 16:43:00,2023-06-30 16:43:00,25,0,161,Regular
1,79.6,79.6,8,2022-12-01 10:37:00,2022-12-01 10:37:00,1,0,373,At Risk
5,948.25,33.87,439,2022-12-01 09:00:00,2023-09-05 09:45:00,24,278,95,Regular
5,1647.26,68.64,516,2023-01-07 11:49:00,2023-10-17 12:16:00,20,283,53,Regular
1,296.25,32.92,152,2023-02-24 15:56:00,2023-02-24 15:56:00,9,0,287,At Risk
6,1175.38,15.67,874,2023-04-07 12:04:00,2023-08-07 14:16:00,64,122,123,Frequent
1,741.26,21.18,512,2023-02-25 12:48:00,2023-02-25 12:48:00,35,0,287,At Risk
2,282.6,23.55,214,2023-01-26 14:58:00,2023-07-11 11:51:00,11,165,151,Regular
9,2108.06,6.57,1242,2023-10-07 15:45:00,2023-12-06 12:26:00,232,59,3,VIP
14,5189.52,36.55,3188,2022-12-07 11:41:00,2023-12-07 16:44:00,66,365,1,VIP
7,3190.55,27.27,1844,2022-12-01 12:08:00,2023-11-28 11:11:00,104,361,11,VIP
2,659.41,26.38,287,2023-09-29 15:40:00,2023-11-06 14:47:00,24,37,32,Regular
2,286.79,5.03,197,2023-03-28 12:52:00,2023-10-16 16:13:00,50,202,53,Regular
2,1070.65,15.3,642,2023-06-13 08:43:00,2023-10-20 14:01:00,68,129,49,Regular
1,306.72,43.82,272,2023-05-05 09:15:00,2023-05-05 09:15:00,7,0,218,At Risk
1,1714.96,114.33,728,2023-10-07 15:13:00,2023-10-07 15:13:00,15,0,62,Regular
3,1519.42,7.34,926,2023-01-06 14:53:00,2023-09-30 12:03:00,183,266,70,Regular
37,17220.36,46.79,7322,2022-12-01 10:47:00,2023-12-07 15:00:00,55,371,1,VIP
10,2796.51,20.71,1163,2022-12-07 13:28:00,2023-12-07 15:08:00,73,365,1,VIP
4,2634.45,22.14,1477,2023-04-06 15:47:00,2023-10-06 14:18:00,114,182,63,High Value
3,1122.63,6.49,540,2023-04-14 12:31:00,2023-11-06 11:43:00,141,205,33,Regular
1,345.0,15.68,192,2023-09-19 12:06:00,2023-09-19 12:06:00,22,0,81,Regular
33,25977.16,131.86,12897,2022-12-01 16:01:00,2023-12-09 12:25:00,36,372,0,VIP
1,178.7,19.86,70,2023-08-28 15:25:00,2023-08-28 15:25:00,9,0,102,Regular
2,360.01,6.32,318,2023-06-22 11:43:00,2023-12-02 13:49:00,56,163,6,Regular
1,127.84,7.52,30,2023-04-03 12:08:00,2023-04-03 12:08:00,17,0,250,At Risk
6,908.86,8.04,369,2023-01-16 11:08:00,2023-11-27 11:54:00,96,315,12,Frequent
11,2462.79,79.44,2493,2023-01-11 14:38:00,2023-11-30 09:33:00,9,322,9,VIP
1,230.4,32.91,136,2022-12-07 13:53:00,2022-12-07 13:53:00,7,0,366,At Risk
2,309.04,9.97,337,2022-12-10 14:45:00,2023-09-25 12:06:00,24,288,75,Regular
1,348.8,7.75,748,2023-12-05 15:48:00,2023-12-05 15:48:00,45,0,3,Regular
2,1516.0,137.82,1200,2023-06-24 16:38:00,2023-08-04 11:44:00,7,40,127,Regular
2,195.55,15.04,92,2023-02-25 14:03:00,2023-10-04 14:31:00,13,221,65,Regular
57,37153.85,106.46,23948,2022-12-02 17:24:00,2023-12-08 15:51:00,113,370,0,VIP
2,688.86,17.66,402,2023-02-18 14:18:00,2023-08-15 12:07:00,32,177,116,Regular
1,558.32,16.92,331,2023-02-03 12:27:00,2023-02-03 12:27:00,33,0,309,At Risk
1,324.8,14.12,168,2023-10-04 10:15:00,2023-10-04 10:15:00,23,0,66,Regular
3,4599.42,76.66,2572,2023-02-01 12:03:00,2023-07-24 10:54:00,55,172,138,High Value
1,277.07,16.3,121,2023-03-29 12:57:00,2023-03-29 12:57:00,17,0,254,At Risk
7,2588.39,19.17,1462,2023-02-23 09:09:00,2023-11-09 12:32:00,124,259,30,VIP
2,924.6,71.12,1900,2023-08-02 15:29:00,2023-10-18 14:50:00,10,76,51,Regular
1,256.38,25.64,56,2023-10-07 11:43:00,2023-10-07 11:43:00,10,0,63,Regular
1,112.6,16.09,36,2022-12-07 15:48:00,2022-12-07 15:48:00,7,0,366,At Risk
5,1747.66,23.0,782,2023-09-04 12:07:00,2023-12-04 12:18:00,70,91,5,Regular
1,155.05,12.92,29,2023-02-07 13:15:00,2023-02-07 13:15:00,11,0,304,At Risk
3,1499.01,42.83,312,2023-10-14 12:57:00,2023-11-11 08:33:00,32,27,28,Regular
3,814.5,62.65,68,2023-04-14 18:40:00,2023-06-09 09:54:00,7,55,183,At Risk
3,539.0,14.97,333,2023-08-26 12:54:00,2023-10-28 14:27:00,33,63,41,Regular
4,1366.86,19.81,552,2023-07-28 10:33:00,2023-10-31 10:38:00,54,95,39,Regular
2,1579.12,27.7,864,2023-07-25 13:54:00,2023-09-08 13:48:00,37,44,91,Regular
4,4027.36,22.88,2560,2023-01-25 12:16:00,2023-11-17 14:19:00,132,296,21,High Value
2,571.67,20.42,269,2023-10-06 14:37:00,2023-11-16 08:38:00,25,40,23,Regular
2,382.98,15.96,211,2022-12-23 11:46:00,2023-11-10 17:49:00,20,322,28,Regular
3,1140.35,31.68,1109,2023-01-24 10:38:00,2023-02-11 10:38:00,26,18,301,At Risk
2,385.64,6.54,153,2023-03-23 11:30:00,2023-07-18 09:49:00,51,116,144,Regular
2,632.0,6.58,611,2023-10-30 15:55:00,2023-12-04 12:13:00,90,34,5,Regular
2,957.66,23.94,439,2023-09-09 10:42:00,2023-11-21 10:22:00,39,72,18,Regular
